#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
  46	343.31762035888	-63.76511534962	6394104185072385920	HD 216316                       	HIP 113019	 7.47	  7.60	  6.20	 0.560	 0.732	12.44	F8/G0V         	 1.261	5p	 54	9	 0.178	 1.221	 0.156	 0.081	 0.075	 0.119	 3.90e-03	   2.9	12.9	 2.27	 28.23	                 	0	0
  47	 50.85443030183	-14.87559107443	5107056177570786048	HD  21064                       	HIP 15784 	 7.47	  7.59	  6.15	 0.600	 0.761	19.07	G1V            	 1.028	5p	 31	9	 0.209	 1.282	 0.155	 0.081	 0.074	 0.140	 3.10e-03	   3.0	 8.6	 2.12	 40.43	                 	0	0
  48	317.32981690774	 -3.89229517711	6912756155040419584	HD 201378                       	HIP 104435	 7.49	  7.62	  6.17	 0.600	 0.770	16.56	F7V            	 1.077	5p	 27	9	 0.227	 1.371	 0.155	 0.082	 0.077	 0.169	 2.30e-04	   3.7	12.3	 2.15	 35.64	                 	2	0
  49	324.22171302438	 +5.81433611811	2699514836778244992	HD 205702                       	HIP 106707	 7.49	  7.62	  6.24	 0.550	 0.725	17.71	F8             	 1.079	5p	 57	9	 0.131	 1.201	 0.156	 0.082	 0.075	 0.114	 6.00e-03	   2.7	 7.8	 2.15	 38.14	                 	0	0
  50	 41.42194440450	-38.15758025652	4952547993272939008	HD  17322                       	HIP 12889 	 7.49	  7.63	  6.18	 0.580	 0.748	19.51	G0V            	 1.032	5p	 59	9	 0.254	 1.500	 0.155	 0.082	 0.077	 0.194	 0.00e+00	   6.4	11.7	 2.12	 41.40	                 	2	0
  51	 66.21079947771	-50.62282803436	4781553628548774656	HD  28254                       	HIP 20606 	 7.51	  7.68	  6.01	 0.755	 0.889	18.12	G5V            	 1.000	5p	 32	9	 0.235	 1.509	 0.152	 0.083	 0.077	 0.193	 0.00e+00	   5.0	12.3	 2.10	 38.06	WDS J04248-5037A 	0	1
  52	 54.01177612515	+16.46611373838	  44197073198840064	HD  22309                       	HIP 16788 	 7.52	      	  6.24	      	 0.744	23.24	G0             	 1.012	5p	 23	9	 0.207	 1.310	 0.155	 0.083	 0.072	 0.149	 4.20e-03	   2.9	 7.4	 2.11	 49.00	                 	0	0
  53	286.88551501550	+30.25495170578	2042389925739687808	V* V478 Lyr                     	HIP 93926 	 7.52	      	  5.74	      	 0.975	36.96	G6V            	 0.838	5p	 53	9	 0.174	 1.215	 0.151	 0.084	 0.074	 0.117	 3.90e-03	   2.9	 3.2	 1.98	 73.17	                 	0	0
  54	139.48086811321	 -3.38753379720	3837451574150437120	HD  80133                       	HIP 45621 	 7.54	  7.77	  5.72	 0.860	 1.035	30.98	K1/2V          	 0.869	5p	 42	9	 0.241	 1.464	 0.151	 0.085	 0.076	 0.186	 0.00e+00	   5.4	 6.3	 2.00	 62.08	                 	0	0
  55	250.23471959327	+21.94818553484	4564397470723536512	HD 150554                       	HIP 81662 	 7.55	  7.67	      	 0.570	 0.713	21.08	F8             	 1.064	5p	 75	9	 0.259	 1.586	 0.156	 0.084	 0.072	 0.206	 0.00e+00	   7.7	11.7	 2.14	 45.20	WDS J16409+2157A 	1	0
  56	140.94548025842	+20.36461284898	 637329067477530368	HD  81040                       	HIP 46076 	 7.57	      	  6.16	      	 0.814	29.06	G0V            	 0.962	5p	 41	9	 0.267	 1.598	 0.153	 0.085	 0.079	 0.221	 0.00e+00	   6.7	 8.5	 2.07	 60.25	                 	1	1
  57	153.53575189216	 +3.14951476943	3835867938104798848	HD  88725                       	HIP 50139 	 7.58	  7.73	  6.15	 0.600	 0.808	28.91	G3/5V          	 0.957	5p	 16	9	 0.187	 1.303	 0.153	 0.085	 0.075	 0.160	 4.30e-03	   2.9	 6.2	 2.07	 59.83	                 	0	0
  58	242.56504900428	+40.55612228984	1380044945793210240	HD 145605                       	HIP 79234 	 7.59	  7.72	  6.40	 0.530	 0.691	18.74	F5             	 1.103	5p	 44	9	 0.266	 1.524	 0.156	 0.085	 0.076	 0.204	 0.00e+00	   5.9	13.3	 2.17	 40.67	                 	2	0
  59	 80.45720743367	+51.48523846724	 262176455996527872	HD  34634                       	HIP 25052 	 7.60	      	  6.16	      	 0.830	20.46	F2             	 0.947	5p	 30	9	 0.238	 1.486	 0.152	 0.086	 0.074	 0.191	 0.00e+00	   4.7	10.4	 2.06	 42.19	                 	0	0
  60	 72.28971264130	-35.08275914795	4867169094309859456	HD  30787                       	HIP 22387 	 7.61	  7.73	  6.44	 0.500	 0.674	19.23	F6V            	 1.120	5p	 50	9	 0.267	 1.519	 0.158	 0.086	 0.076	 0.203	 0.00e+00	   6.2	13.1	 2.18	 41.93	                 	2	0
  61	260.32976373297	-51.12295382525	5925437216328405760	HD 156643                       	HIP 84924 	 7.63	  7.79	  6.21	 0.640	 0.805	25.75	G1V            	 0.938	5p	 30	9	 0.210	 1.199	 0.153	 0.087	 0.082	 0.135	 4.70e-03	   2.8	 5.8	 2.06	 52.93	                 	0	0
  62	309.58791146619	 -4.51189063761	4224388549397995520	HD 196554                       	HIP 101852	 7.63	  7.77	  6.33	 0.590	 0.755	22.94	G0V            	 0.999	5p	 58	9	 0.298	 1.702	 0.154	 0.087	 0.076	 0.240	 0.00e+00	9999.0	12.0	 2.10	 48.16	                 	2	0
  63	187.82613243460	+20.21705961876	3949377704625720192	HD 108984                       	HIP 61099 	 7.69	      	  5.90	      	 1.020	37.96	K0V            	 0.813	5p	 37	9	 0.208	 1.270	 0.150	 0.089	 0.077	 0.146	 4.20e-04	   3.5	 3.8	 1.96	 74.41	                 	0	0
  64	352.83627090799	-58.20975481926	6489603813690967808	HD 221287                       	HIP 116084	 7.69	  7.81	  6.57	 0.500	 0.663	17.87	F7V            	 1.142	5p	 58	9	 0.157	 1.223	 0.160	 0.088	 0.074	 0.123	 2.80e-03	   3.0	 8.7	 2.20	 39.23	                 	0	1
  65	192.96701408029	 +0.08480773710	3689813005359244928	HD 111816                       	HIP 62776 	 7.71	  7.82	  6.56	 0.510	 0.676	18.40	F6V            	 1.121	5p	 42	9	 0.199	 1.218	 0.159	 0.089	 0.079	 0.135	 2.40e-03	   3.0	 9.1	 2.18	 40.14	                 	2	0
  66	157.05777553317	-16.28877428331	3748775965666132992	HD  90722                       	HIP 51258 	 7.71	  7.86	  6.26	 0.730	 0.860	19.20	G5/6IV         	 0.939	5p	 24	9	 0.156	 1.239	 0.150	 0.089	 0.074	 0.137	 6.60e-03	   2.7	 7.9	 2.06	 39.48	                 	0	0
  67	338.81412525984	-78.61419595175	6352307762371430144	HD 213401                       	HIP 111486	 7.74	  7.88	  6.36	 0.670	 0.804	15.25	G5IV/V(+F/G)   	 1.051	5p	 43	9	 0.190	 1.229	 0.152	 0.090	 0.076	 0.131	 1.90e-03	   3.1	10.2	 2.14	 32.56	                 	0	0
  68	225.09519021364	 +7.73492363866	1161423035887848320	HD 132720                       	HIP 73434 	 7.76	  7.89	  6.46	 0.580	 0.720	18.43	F5             	 1.061	5p	 21	9	 0.270	 1.537	 0.158	 0.090	 0.072	 0.208	 1.00e-05	   4.4	13.5	 2.14	 39.47	                 	0	0
  69	176.16341706928	-29.88469480210	3480395137355028480	HD 102071                       	HIP 57271 	 7.76	  7.96	  6.06	 0.800	 0.969	34.30	K0.5V          	 0.831	5p	 63	9	 0.286	 1.688	 0.150	 0.091	 0.076	 0.240	 0.00e+00	9999.0	 7.1	 1.97	 67.73	                 	1	0
  70	  6.29629662640	+16.99164969412	2793182094909155584	HD   2085                       	HIP 1989  	 7.76	  7.90	  6.74	 0.490	 0.681	16.12	F5             	 1.143	5p	 56	9	 0.221	 1.342	 0.160	 0.090	 0.077	 0.164	 0.00e+00	   4.6	12.8	 2.20	 35.40	                 	2	0
  71	290.85286856037	+20.56797947331	4516726426141479808	HD 182335                       	HIP 95309 	 7.78	      	  6.33	      	 0.745	21.57	G2IVw          	 1.024	5p	 72	9	 0.297	 1.565	 0.157	 0.091	 0.070	 0.202	 0.00e+00	   7.3	10.9	 2.12	 45.67	WDS J19234+2034A 	0	0
  72	 55.31595776360	+45.89585823766	 244840902839984000	HD  22743                       	HIP 17217 	 7.78	      	  6.37	      	 0.811	18.76	F8             	 0.958	5p	 39	9	 0.253	 1.637	 0.153	 0.091	 0.072	 0.225	 0.00e+00	   6.7	13.4	 2.07	 38.84	WDS J03413+4554AB	0	0
  73	353.01914761230	-43.58995863893	6534858166102087040	HD 221402                       	HIP 116154	 7.83	  7.95	      	 0.600	 0.758	21.45	F8/G2          	 1.017	5p	 41	9	 0.147	 1.308	 0.157	 0.091	 0.074	 0.150	 3.20e-04	   3.6	 8.1	 2.11	 45.29	                 	0	0
  74	285.00338580908	-69.94509306354	6421118739093252224	HD 175167                       	HIP 93281 	 7.84	  8.00	  6.29	 0.780	 0.900	14.04	G5IV/V         	 1.089	5p	 73	9	 0.181	 1.173	 0.150	 0.092	 0.074	 0.108	 3.10e-03	   3.0	 9.4	 2.16	 30.34	                 	1	1
  75	217.35744092421	-80.10330663559	5773039578928432000	HD 125856A                      	          	 7.91	  8.03	  6.64	 0.440	 0.612	14.12	               	 1.211	5p	 39	9	 0.196	 1.236	 0.162	 0.092	 0.075	 0.139	 2.60e-03	   3.0	12.9	 2.24	 31.61	WDS J14295-8006A 	0	0
  76	238.33322325544	 +4.25329074921	4426054581256895104	HD 142229                       	HIP 77810 	 7.91	  8.08	  6.61	 0.620	 0.784	21.68	G5V            	 0.973	5p	 33	9	 0.195	 1.320	 0.156	 0.092	 0.071	 0.151	 8.40e-04	   3.3	 7.8	 2.08	 45.12	                 	0	0
  77	266.26293341011	+19.29067387912	4552227182675443584	HD 161479                       	HIP 86882 	 7.96	  8.11	  6.45	 0.783	 0.893	20.23	K0             	 0.909	5p	 65	9	 0.244	 1.479	 0.151	 0.092	 0.072	 0.188	 0.00e+00	   6.6	10.0	 2.03	 41.16	                 	3	0
  78	 83.31993038051	+39.50507422423	 190761285987954560	HD  36387                       	HIP 26037 	 7.99	      	  6.70	      	 0.750	17.77	G0             	 1.025	5p	 28	9	 0.204	 1.287	 0.156	 0.092	 0.074	 0.149	 1.90e-03	   3.1	 9.8	 2.12	 37.63	                 	0	0
  79	293.24730319149	 -1.00503709888	4215059743009228544	HD 184114                       	          	 8.00	  8.13	  6.79	 0.550	 0.713	17.31	G0V            	 1.066	5p	 32	9	 0.194	 1.189	 0.156	 0.092	 0.079	 0.132	 6.90e-03	   2.7	 9.2	 2.15	 37.13	                 	0	0
  80	193.47563273000	 +6.76331383680	3709422000670924416	HD 112099                       	HIP 62942 	 8.01	      	  6.15	      	 1.046	36.59	K1V            	 0.793	5p	 48	9	 0.389	 2.009	 0.150	 0.093	 0.080	 0.315	 0.00e+00	9999.0	 8.5	 1.94	 71.13	                 	2	0
  81	311.03152887009	-44.77240354483	6675138322043510400	HD 197239                       	HIP 102338	 8.04	  8.19	  6.66	 0.660	 0.819	15.69	G5V            	 0.973	5p	 36	9	 0.211	 1.358	 0.152	 0.092	 0.076	 0.168	 2.00e-05	   4.2	12.1	 2.08	 32.64	                 	0	0
  82	191.35500916533	+29.77600998381	3963161216751499904	HD 110950                       	HIP 62246 	 8.05	  8.18	  6.79	 0.550	 0.734	15.47	G2V            	 1.075	5p	 36	9	 0.141	 1.219	 0.154	 0.092	 0.074	 0.128	 6.10e-03	   2.7	10.0	 2.15	 33.28	                 	0	0
  83	220.84258357629	+51.91863926351	1605622057017876992	HD 129920                       	HIP 71989 	 8.06	  8.23	  6.67	 0.640	 0.807	21.61	G2V            	 0.963	5p	 43	9	 0.302	 1.631	 0.152	 0.091	 0.078	 0.235	 0.00e+00	   7.5	12.2	 2.07	 44.82	                 	0	0
  84	267.08431966668	+33.80010501865	4607307836143102208	HD 162197                       	HIP 87152 	 8.06	  8.20	  6.55	 0.610	 0.785	17.75	G0             	 1.023	5p	 52	9	 0.263	 1.489	 0.153	 0.091	 0.076	 0.198	 0.00e+00	   6.3	13.0	 2.12	 37.57	                 	0	0
  85	116.57020678453	-59.80881829620	5294069567720884480	HD  63608                       	HIP 37923 	 8.07	  8.23	  6.41	 0.830	 0.971	29.62	K0IV-V(k)      	 0.837	5p	 38	9	 0.162	 1.177	 0.149	 0.091	 0.077	 0.121	 6.90e-03	   2.7	 4.2	 1.98	 58.61	WDS J07462-5949B 	0	0
  86	133.83554432436	+70.79208043104	1118916397393675648	HD  75632B                      	          	 8.07	  8.94	      	 1.390	 1.718	86.30	M1V            	 0.622	5p	 53	9	 0.380	 2.200	 0.144	 0.092	 0.075	 0.332	 0.00e+00	9999.0	 3.2	 1.79	154.71	WDS J08554+7048B 	0	0
  87	 35.50346881891	 +4.74711035873	2516606060975446528	HD  14651                       	HIP 11028 	 8.08	  8.25	  6.50	 0.760	 0.909	25.55	G5V            	 0.868	5p	 22	9	 0.198	 1.413	 0.150	 0.090	 0.074	 0.183	 6.00e-05	   4.0	 7.5	 2.00	 51.18	WDS J02220+0445A 	0	0
  88	119.26508502325	 +1.51335890722	3087804241394370816	HD  65080                       	HIP 38853 	 8.08	  8.23	  6.78	 0.590	 0.744	18.28	G0V            	 1.025	5p	 46	9	 0.258	 1.446	 0.153	 0.090	 0.076	 0.188	 0.00e+00	   5.5	12.0	 2.12	 38.70	                 	0	0
  89	 33.17804544512	-53.74375478272	4743692151804240896	HD  13808                       	HIP 10301 	 8.12	  8.38	  6.25	 0.852	 1.059	35.53	K2V            	 0.785	5p	 42	9	 0.133	 1.169	 0.147	 0.089	 0.079	 0.119	 4.90e-03	   2.8	 3.3	 1.94	 68.82	                 	0	2
  90	357.25513588382	 +3.18116915526	2742801956727994880	HD 223374                       	HIP 117463	 8.13	  8.41	  6.17	 0.900	 1.120	39.89	K2.5V          	 0.762	5p	 54	9	 0.573	 1.713	 0.146	 0.088	 0.077	 0.512	 0.00e+00	9999.0	12.3	 1.92	 76.52	                 	0	0
  91	191.14503248673	 +3.53207121211	3703975672901804160	HD 110802                       	HIP 62178 	 8.16	  8.29	  6.80	 0.570	 0.761	19.18	G1V            	 1.037	5p	 58	9	 0.281	 1.552	 0.150	 0.087	 0.078	 0.211	 0.00e+00	   7.6	13.0	 2.13	 40.77	                 	3	0
  92	304.23757719605	+37.19074706733	2060622130642471808	HD 228722                       	          	 8.16	      	  6.72	      	 0.810	20.60	G0V            	 0.936	5p	 45	9	 0.242	 1.369	 0.148	 0.087	 0.074	 0.161	 1.00e-05	   4.5	 8.6	 2.05	 42.32	                 	0	0
  93	 93.84574569420	-34.95187339980	2885631678274507648	HD  43575                       	HIP 29697 	 8.18	  8.30	  7.03	 0.470	 0.650	15.02	F5V            	 1.163	5p	 45	9	 0.171	 1.313	 0.152	 0.086	 0.076	 0.153	 5.00e-05	   4.1	13.0	 2.21	 33.18	                 	0	0
  94	 33.99038065925	 -4.09532904660	2492802561947033984	HD  13999                       	HIP 10561 	 8.18	  8.35	  6.84	 0.580	 0.787	13.28	G5V            	 1.027	5p	 20	9	 0.170	 1.244	 0.148	 0.086	 0.077	 0.144	 5.40e-03	   2.8	12.7	 2.12	 28.15	                 	0	0
  95	 38.59437994853	-43.79765690653	4946938113149426944	V* CC Eri                       	HIP 11964 	 8.20	  8.86	  4.89	 1.336	 1.979	86.61	K7V            	 0.625	5p	 53	9	 0.377	 2.261	 0.142	 0.087	 0.077	 0.326	 0.00e+00	9999.0	 3.2	 1.80	155.51	                 	0	0
  96	208.53021149832	 -1.96575622717	3658650268847554048	HD 121218                       	HIP 67875 	 8.21	  8.33	  7.04	 0.520	 0.689	14.54	F7V            	 1.106	5p	 26	9	 0.194	 1.335	 0.150	 0.084	 0.075	 0.158	 5.20e-04	   3.5	13.4	 2.17	 31.58	                 	0	0
  97	228.12683429641	-35.91916345404	6200121677915639168	HD 134702                       	HIP 74417 	 8.21	  8.35	  6.84	 0.660	 0.806	20.21	G3V            	 0.963	5p	 22	9	 0.155	 1.246	 0.147	 0.085	 0.074	 0.137	 6.40e-03	   2.7	 7.6	 2.07	 41.90	WDS J15125-3555A 	0	0
  98	303.32119716531	-82.02822821794	6349039120460335104	HD 189310                       	HIP 99634 	 8.21	  8.45	  6.36	 0.910	 1.054	31.47	K2V            	 0.801	5p	 32	9	 0.522	 2.715	 0.144	 0.085	 0.076	 0.421	 0.00e+00	9999.0	13.3	 1.95	 61.37	                 	2	0
  99	325.76804024322	+55.20973218455	2174771572407323008	HD 206843                       	HIP 107228	 8.21	      	  6.91	      	 0.734	17.71	G0             	 1.064	5p	 39	9	 0.183	 1.199	 0.148	 0.084	 0.075	 0.119	 6.50e-03	   2.7	 8.1	 2.14	 37.96	                 	2	0
 100	 23.33507270003	+29.26491129049	 302956655074266112	HD   9446                       	HIP 7245  	 8.22	      	  6.85	      	 0.816	19.92	G5V            	 0.948	5p	 39	9	 0.155	 1.217	 0.147	 0.085	 0.072	 0.118	 6.40e-03	   2.7	 6.6	 2.06	 41.09	                 	0	2
 101	105.12356814185	-41.37884986107	5563001178343925376	HD  52756                       	HIP 33736 	 8.22	  8.47	  6.40	 0.880	 1.058	30.89	K2IV           	 0.803	5p	 40	9	 0.194	 1.393	 0.144	 0.084	 0.074	 0.162	 0.00e+00	   4.6	 5.2	 1.95	 60.30	                 	1	0
 102	 60.13367449491	-41.74844594525	4842275841819363200	HD  25402                       	HIP 18714 	 8.23	  8.37	  6.88	 0.619	 0.789	19.27	G3V            	 0.963	5p	 42	9	 0.325	 1.470	 0.147	 0.084	 0.075	 0.184	 0.00e+00	   5.5	10.7	 2.07	 39.95	WDS J04005-4145A 	1	0
 103	 84.56521756397	-12.45378617094	3008941254494410752	HD  37456                       	          	 8.27	  8.40	  6.76	 0.650	 0.820	13.80	G2V            	 0.983	5p	 47	9	 0.155	 1.296	 0.145	 0.082	 0.073	 0.136	 2.10e-04	   3.7	11.2	 2.09	 28.81	                 	0	0
 104	133.83534883102	+70.79295091027	1118916397395366656	HD  75632A                      	          	 8.27	  8.82	      	 1.560	 1.792	86.35	M1V            	 0.607	6p	 52	9	 0.324	 1.766	 0.170	 0.088	 0.075	 0.261	 0.00e+00	   8.1	 2.5	 1.78	153.54	WDS J08554+7048A 	0	0
 105	304.15998926192	-35.04064588870	6699146987367334528	HD 192527                       	HIP 99940 	 8.29	  8.45	  6.81	 0.690	 0.855	22.68	G5V            	 0.953	5p	 34	9	 0.152	 1.198	 0.143	 0.081	 0.076	 0.119	 6.90e-03	   2.7	 5.8	 2.07	 46.88	                 	0	0
 106	137.59757694985	+67.13483839140	1068982214258617856	* sig02 UMa B                   	          	 8.30	 10.26	      	-2.060	 1.317	48.63	K2V            	 0.720	5p	 52	9	 0.168	 1.225	 0.140	 0.081	 0.074	 0.110	 3.30e-03	   2.9	 2.1	 1.88	 91.54	WDS J09104+6708B 	0	0
 107	136.71038520517	+47.11287174323	1012212779648877440	HD  77891                       	HIP 44727 	 8.32	      	  6.87	      	 0.810	19.43	G0             	 0.921	5p	 39	9	 0.234	 1.409	 0.143	 0.079	 0.077	 0.169	 0.00e+00	   4.9	 9.5	 2.04	 39.70	WDS J09068+4707AB	0	0
 108	314.34368024279	-59.07620734367	6456232811155783936	HD 199065A                      	          	 8.34	  8.43	  6.81	 0.640	 0.771	16.82	G2/5V          	 1.004	5p	 54	9	 0.144	 1.336	 0.143	 0.077	 0.073	 0.139	 3.00e-05	   4.2	 9.5	 2.10	 35.37	WDS J20574-5905A 	0	0
 109	254.71722718299	-23.74695371409	4113449368050744064	HD 153190                       	HIP 83099 	 8.34	  8.52	  6.85	 0.650	 0.844	16.43	G2V            	 0.992	5p	 50	9	 0.207	 1.323	 0.141	 0.077	 0.079	 0.148	 1.00e-05	   4.5	10.3	 2.09	 34.41	                 	0	0
 110	306.12700998716	-34.71698028952	6696392916897798784	HD 193995                       	HIP 100649	 8.35	  8.49	  6.92	 0.720	 0.851	11.71	G5V            	 1.038	5p	 32	9	 0.136	 1.219	 0.141	 0.077	 0.076	 0.121	 5.40e-03	   2.8	12.2	 2.13	 24.89	                 	0	0
 111	353.89691754024	-46.94618088654	6525140510537736448	HD 221818                       	HIP 116429	 8.35	  8.55	  6.70	 0.790	 0.964	26.43	G9V            	 0.822	5p	 65	9	 0.249	 1.649	 0.139	 0.077	 0.073	 0.203	 0.00e+00	9999.0	 7.7	 1.97	 52.00	                 	3	0
 112	359.25718311403	-67.59417534640	6388939400999410688	HD 224319                       	HIP 118062	 8.35	  8.50	  6.87	 0.640	 0.829	15.40	G2V            	 0.927	5p	 37	9	 0.173	 1.204	 0.141	 0.076	 0.077	 0.117	 5.30e-03	   2.8	 8.3	 2.05	 31.53	                 	0	0
 113	141.73976547159	+81.86718316022	1144980045653702528	HD  79869                       	          	 8.36	  8.48	  7.20	 0.480	 0.659	12.62	F2             	 1.155	5p	 37	9	 0.189	 1.254	 0.144	 0.075	 0.077	 0.133	 1.10e-03	   3.3	13.3	 2.20	 27.80	                 	0	0
 114	176.52852836613	-38.14806013617	5384892286190247552	HD 102256                       	HIP 57402 	 8.36	  8.52	  6.93	 0.590	 0.790	19.55	G3V            	 0.979	5p	 40	9	 0.237	 1.394	 0.141	 0.075	 0.077	 0.160	 0.00e+00	   4.6	 9.3	 2.09	 40.77	                 	1	0
